gene,shap_importance,feature_rank
ENSG00000135220.11,0.00021334818490476717,395
ENSG00000153993.13,0.00021320698456007961,396
ENSG00000223573.7,0.00021208711181839346,397
ENSG00000274080.1,0.00020880421278418785,398
ENSG00000145681.11,0.00020828592412884599,399
ENSG00000171916.17,0.0002080144022557759,400
ENSG00000174939.11,0.00020715046857619534,401
ENSG00000148848.14,0.0002062685113440475,402
ENSG00000234602.9,0.00020565455121064304,403
ENSG00000092607.15,0.00020541225064356193,404
ENSG00000167654.18,0.00020185470115994568,405
ENSG00000176842.15,0.0002008357522292399,406
ENSG00000142408.6,0.000200701130079503,407
ENSG00000162992.4,0.0001981368729190398,408
ENSG00000224099.2,0.00019780882233851865,409
ENSG00000272463.1,0.00019698434395933937,410
ENSG00000271824.2,0.00019641668124820554,411
ENSG00000169313.10,0.00019628004241986134,412
ENSG00000088992.18,0.0001961236296619817,413
ENSG00000154645.14,0.00019483302486582245,414
ENSG00000129455.15,0.00019476288861486194,415
ENSG00000247381.3,0.00019449478006332768,416
ENSG00000188064.10,0.00019184248513699743,417
ENSG00000181652.19,0.0001911775522137135,418
ENSG00000184113.9,0.0001907481245283694,419
ENSG00000126950.8,0.00019052780229741054,420
ENSG00000286042.1,0.00019043860084606707,421
ENSG00000122133.17,0.0001887945439821564,422
ENSG00000231246.2,0.00018798169011702918,423
ENSG00000271447.6,0.00018703442323466047,424
ENSG00000066468.23,0.00018513246256901235,425
ENSG00000145362.20,0.0001830213771953157,426
ENSG00000204542.3,0.00018248141502969647,427
ENSG00000188848.16,0.00018150858251286467,428
ENSG00000254726.3,0.00018104828137195943,429
ENSG00000138769.11,0.00018078735335888907,430
ENSG00000105664.11,0.00017985561251728318,431
ENSG00000135678.12,0.00017891175634779334,432
ENSG00000183476.12,0.00017883774139612835,433
ENSG00000163710.9,0.00017835118107982723,434
ENSG00000166501.14,0.0001777956932189462,435
ENSG00000099139.14,0.0001776808665034496,436
ENSG00000157766.19,0.0001772089617032332,437
